,Commodity,Price Date,Price
19773,"Fuel (diesel, heating, parallel market)",2023-01-15,3205.0
19774,"Fuel (diesel, heating, parallel market)",2023-02-15,4178.0
19775,"Fuel (diesel, heating, parallel market)",2023-03-15,4333.16131
19776,"Fuel (diesel, heating, parallel market)",2023-04-15,4363.0
19777,"Fuel (diesel, heating, parallel market)",2023-05-15,4792.0
19778,"Fuel (diesel, heating, parallel market)",2023-06-15,5012.133357
19779,"Fuel (diesel, heating, parallel market)",2023-07-15,5952.258081
19780,"Fuel (diesel, heating, parallel market)",2023-08-15,7240.0
19781,"Fuel (diesel, heating, parallel market)",2023-09-15,7240.0
19782,"Fuel (diesel, heating, parallel market)",2023-10-15,9031.290376
19783,"Fuel (diesel, heating, parallel market)",2023-11-15,8673.249872
19784,"Fuel (diesel, heating, parallel market)",2023-12-15,9129.9194
19785,"Fuel (diesel, heating, parallel market)",2024-01-15,9827.9
19786,"Fuel (diesel, heating, parallel market)",2024-02-15,9931.599976
19787,"Fuel (diesel, heating, parallel market)",2024-03-15,10434.516163
19788,"Fuel (diesel, heating, parallel market)",2024-04-15,11370.333321
19789,"Fuel (diesel, heating, parallel market)",2024-05-15,11317.741878
19790,"Fuel (diesel, heating, parallel market)",2024-06-15,10268.869463
19791,"Fuel (diesel, heating, parallel market)",2024-07-15,10181.032256
19792,"Fuel (diesel, heating, parallel market)",2024-08-15,10148.999884
19793,"Fuel (diesel, heating, parallel market)",2024-09-15,10740.333342
19794,"Fuel (diesel, heating, parallel market)",2024-10-15,10985.483892
19795,"Fuel (diesel, heating, parallel market)",2024-11-15,11746.500089
19796,"Fuel (diesel, heating, parallel market)",2024-12-15,15763.000291
19797,"Fuel (diesel, heating, parallel market)",2025-01-15,8825.86533
19798,"Fuel (diesel, heating, parallel market)",2025-02-15,9106.0
19799,"Fuel (diesel, heating, parallel market)",2025-03-15,27449.3594
19800,"Fuel (diesel, heating, parallel market)",2025-04-15,31432.2617
19801,"Fuel (diesel, heating, parallel market)",2025-05-15,34175.8672
19802,"Fuel (diesel, heating, parallel market)",2025-06-15,36085.1133
19803,"Fuel (diesel, transport, parallel market)",2023-01-15,6600.0
19804,"Fuel (diesel, transport, parallel market)",2023-02-15,7124.637628
19805,"Fuel (diesel, transport, parallel market)",2023-03-15,7657.06447
19806,"Fuel (diesel, transport, parallel market)",2023-04-15,8100.0
19807,"Fuel (diesel, transport, parallel market)",2023-06-15,9627.012783
19808,"Fuel (diesel, transport, parallel market)",2023-07-15,11265.602179
19809,"Fuel (diesel, transport, parallel market)",2023-08-15,15260.774434
19810,"Fuel (diesel, transport, parallel market)",2023-09-15,16584.266662
19811,"Fuel (diesel, transport, parallel market)",2023-10-15,16633.0
19812,"Fuel (diesel, transport, parallel market)",2023-11-15,11530.637496
19813,"Fuel (diesel, transport, parallel market)",2023-12-15,9094.451678
19814,"Fuel (diesel, transport, parallel market)",2024-01-15,10167.0
19815,"Fuel (diesel, transport, parallel market)",2024-02-15,11163.599994
19816,"Fuel (diesel, transport, parallel market)",2024-03-15,11376.129049
19817,"Fuel (diesel, transport, parallel market)",2024-04-15,11573.333334
19818,"Fuel (diesel, transport, parallel market)",2024-05-15,11317.741878
19819,"Fuel (diesel, transport, parallel market)",2024-06-15,10268.869463
19820,"Fuel (diesel, transport, parallel market)",2024-07-15,10181.032256
19821,"Fuel (diesel, transport, parallel market)",2024-08-15,10148.999884
19822,"Fuel (diesel, transport, parallel market)",2024-09-15,10740.333342
19823,"Fuel (diesel, transport, parallel market)",2024-10-15,10985.483892
19824,"Fuel (diesel, transport, parallel market)",2024-11-15,11746.500089
19825,"Fuel (diesel, transport, parallel market)",2024-12-15,15763.000291
19826,"Fuel (diesel, transport, parallel market)",2025-01-15,8930.288366
19827,"Fuel (diesel, transport, parallel market)",2025-02-15,9425.0
19828,"Fuel (diesel, transport, parallel market)",2025-03-15,19436.0215
19829,"Fuel (diesel, transport, parallel market)",2025-04-15,16440.8594
19830,"Fuel (diesel, transport, parallel market)",2025-05-15,17580.8496
19831,"Fuel (diesel, transport, parallel market)",2025-06-15,17195.3145
19832,Fuel (diesel),2023-02-15,6995.652147
19833,Fuel (diesel),2023-03-15,7300.0
19834,Fuel (diesel),2023-07-15,12500.0
19835,Fuel (diesel),2023-08-15,14645.16153
19836,Fuel (diesel),2023-09-15,16035.00001
19837,Fuel (diesel),2023-10-15,16000.0
19838,Fuel (diesel),2023-11-15,2668.5549
19839,Fuel (diesel),2023-12-15,2668.5549
19840,Fuel (diesel),2024-01-15,2668.5549
19841,Fuel (diesel),2024-02-15,2668.5549
19842,Fuel (diesel),2024-03-15,2668.5549
19843,Fuel (diesel),2024-04-15,2668.5549
19873,Oil,2023-01-15,12450.0
19874,Oil,2023-02-15,13642.02895
19875,Oil,2023-03-15,13652.075246
19876,Oil,2023-04-15,13510.0
19877,Oil,2023-06-15,15443.589923
19878,Oil,2023-07-15,16866.677472
19879,Oil,2023-08-15,23342.419931
19880,Oil,2023-09-15,24133.00007
19881,Oil,2023-10-15,23733.0
19882,Oil,2023-11-15,16338.182022
19883,Oil,2023-12-15,17724.838898
19884,Oil,2024-01-15,19200.466
19885,Oil,2024-02-15,20347.07988
19886,Oil,2024-03-15,21376.161317
19887,Oil,2024-04-15,23195.778217
19888,Oil,2024-05-15,24674.838523
19889,Oil,2024-06-15,22676.520356
19890,Oil,2024-07-15,22701.397039
19891,Oil,2024-08-15,23443.548666
19892,Oil,2024-09-15,22486.666679
19893,Oil,2024-10-15,23322.042531
19894,Oil,2024-11-15,26387.999259
19895,Oil,2024-12-15,34952.221053
19896,Oil,2025-01-15,18144.038771
19897,Oil,2025-02-15,16530.0
19898,Oil,2025-03-15,25077.3574
19899,Oil,2025-04-15,25490.0664
19900,Oil,2025-05-15,25899.7246
19901,Oil,2025-06-15,26381.1484
19902,"Fuel (diesel, heating, parallel market)",2023-01-15,3205.0
19903,"Fuel (diesel, heating, parallel market)",2023-02-15,4178.0
19904,"Fuel (diesel, heating, parallel market)",2023-03-15,4333.16131
19905,"Fuel (diesel, heating, parallel market)",2023-04-15,4363.0
19906,"Fuel (diesel, heating, parallel market)",2023-05-15,4792.0
19907,"Fuel (diesel, heating, parallel market)",2023-06-15,5012.133357
19908,"Fuel (diesel, heating, parallel market)",2023-07-15,5952.258081
19909,"Fuel (diesel, heating, parallel market)",2023-08-15,7240.0
19910,"Fuel (diesel, heating, parallel market)",2023-09-15,7240.0
19911,"Fuel (diesel, heating, parallel market)",2023-10-15,9031.290376
19912,"Fuel (diesel, heating, parallel market)",2023-11-15,8645.031084
19913,"Fuel (diesel, heating, parallel market)",2023-12-15,9091.645194
