CountryName,Adm1Name,Adm2Name,MarketID,MarketName,SurveyID,SurveyDate,MFIRiskLevel,MFIScore,Assortment,Availability,Price,Resilience,Competition,Infrastructure,Service,Quality,AccessProtection,SurveyType
Syrian Arab Republic,Lattakia,Al-Haffa,10473,Al-Haffa,4970,22/01/2025,Low Risk,6.475244998931885,5,10,5,10,,,,,,Reduced
Syrian Arab Republic,Al-Hasakeh,Quamishli,1125,Quamishli,4970,22/01/2025,Low Risk,6.475244998931885,5,10,5,10,,,,,,Reduced
Syrian Arab Republic,Rural Damascus,Rural Damascus,1354,Jaramana,4970,22/01/2025,Low Risk,6.9506635665893555,8.75,10,5,10,,,,,,Reduced
Syrian Arab Republic,Rural Damascus,Duma,1117,Duma,4970,22/01/2025,Medium Risk,5.028070449829102,7.5,8.333333015441895,2.5,10,,,,,,Reduced
Syrian Arab Republic,Rural Damascus,Qatana,5931,Jdaideh,4970,22/01/2025,Low Risk,6.581283092498779,5,10,5.833333492279053,10,,,,,,Reduced
Syrian Arab Republic,Quneitra,Quneitra,1554,Khan Arnaba,4970,22/01/2025,Low Risk,7.1084065437316895,10,10,5,10,,,,,,Reduced
Syrian Arab Republic,Damascus,Damascus,1558,Shrebishat,4970,22/01/2025,Low Risk,9.160187721252441,10,8.333333015441895,10,10,,,,,,Reduced
Syrian Arab Republic,As-Sweida,As-Sweida,1559,As-Sweida,4970,22/01/2025,Low Risk,6.9506635665893555,8.75,10,5,10,,,,,,Reduced
Syrian Arab Republic,Idleb,Harim,2706,Harem,4970,22/01/2025,Medium Risk,6.070864200592041,10,10,3.3333332538604736,10,,,,,,Reduced
Syrian Arab Republic,Al-Hasakeh,Al-Hasakeh,5256,Tell Tamer,4970,22/01/2025,Low Risk,6.475244998931885,5,10,5,10,,,,,,Reduced
Syrian Arab Republic,Idleb,Jisr-Ash-Shugur,4612,Jisr al shughur,4970,22/01/2025,Low Risk,8.654739379882812,10,10,7.5,10,,,,,,Reduced
Syrian Arab Republic,Aleppo,Jebel Saman,2676,Atareb,4970,22/01/2025,Medium Risk,5.2375311851501465,10,7.5,2.5,10,,,,,,Reduced
Syrian Arab Republic,Rural Damascus,Qatana,10477,Sa'sa',4970,22/01/2025,Low Risk,7.1084065437316895,10,10,5,10,,,,,,Reduced
Syrian Arab Republic,Hama,Muhradah,1138,Muhradah,4970,22/01/2025,Low Risk,7.1084065437316895,10,10,5,10,,,,,,Reduced
Syrian Arab Republic,Hama,Hama,1136,Hama,4970,22/01/2025,Low Risk,7.1084065437316895,10,10,5,10,,,,,,Reduced
Syrian Arab Republic,Rural Damascus,Rural Damascus,1115,Qudsiya,4970,22/01/2025,Low Risk,6.9506635665893555,8.75,10,5,10,,,,,,Reduced
Syrian Arab Republic,Ar-Raqqa,Tell Abiad,2689,Ein Issa,4970,22/01/2025,Very High Risk,3.8350648880004883,8.75,10,0,10,,,,,,Reduced
Syrian Arab Republic,Aleppo,Afrin,1949,Afrin,4970,22/01/2025,Very High Risk,3.991675853729248,10,10,0,10,,,,,,Reduced
Syrian Arab Republic,Aleppo,Jebel Saman,1142,Aleppo,4970,22/01/2025,Low Risk,7.1084065437316895,10,10,5,10,,,,,,Reduced
Syrian Arab Republic,Aleppo,A'zaz,9862,Mare',4970,22/01/2025,Very High Risk,3.991675853729248,10,10,0,10,,,,,,Reduced
Syrian Arab Republic,Rural Damascus,Darayya,10476,Markaz Darayya,4970,22/01/2025,Low Risk,7.1084065437316895,10,10,5,10,,,,,,Reduced
Syrian Arab Republic,Aleppo,A'zaz,1926,A'zaz,4970,22/01/2025,Medium Risk,6.5899271965026855,10,10,4.166666507720947,10,,,,,,Reduced
Syrian Arab Republic,Aleppo,Afrin,10478,Jandairis,4970,22/01/2025,Very High Risk,4.718077182769775,10,7.5,1.6666666269302368,10,,,,,,Reduced
Syrian Arab Republic,Quneitra,Al Fiq,2524,Sayda,4970,22/01/2025,Very High Risk,4.146097183227539,8.75,8.333333015441895,0.8333333134651184,10,,,,,,Reduced
Syrian Arab Republic,Dar'a,Dar'a,5079,Busra al Sham,4970,22/01/2025,Low Risk,8.654739379882812,10,10,7.5,10,,,,,,Reduced
Syrian Arab Republic,Dar'a,Izra',2237,Hrak,4970,22/01/2025,Low Risk,6.79262638092041,7.5,10,5,10,,,,,,Reduced
Syrian Arab Republic,Tartous,Safita,1553,Rural Safita,4970,22/01/2025,Low Risk,6.79262638092041,7.5,10,5,10,,,,,,Reduced
Syrian Arab Republic,Deir-ez-Zor,Deir-ez-Zor,5259,Tebni,4970,22/01/2025,Low Risk,7.1084065437316895,10,10,5,10,,,,,,Reduced
Syrian Arab Republic,Damascus,Damascus,2680,Al Midan,4970,22/01/2025,Low Risk,9.160187721252441,10,8.333333015441895,10,10,,,,,,Reduced
