MarketId,Country,Admin1,Admin2,MarketName,Latitude,Longitude
1112,Syrian Arab Republic,Damascus,Damascus,Sheikh Sa'ad,33.5,36.29999923706055
1115,Syrian Arab Republic,Rural Damascus,Rural Damascus,Qudsiya,33.54999923706055,36.216670989990234
1117,Syrian Arab Republic,Rural Damascus,Duma,Duma,33.58332824707031,36.400001525878906
1118,Syrian Arab Republic,Dar'a,Dar'a,Dar'a,32.62168884277344,36.10865020751953
1119,Syrian Arab Republic,Dar'a,As-Sanamayn,As-Sanamayn,33.073509216308594,36.183040618896484
1121,Syrian Arab Republic,Deir-ez-Zor,Deir-ez-Zor,Deir-ez-Zor,35.335670471191406,40.153831481933594
1124,Syrian Arab Republic,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,36.481689453125,40.75619125366211
1125,Syrian Arab Republic,Al-Hasakeh,Quamishli,Quamishli,37.05236053466797,41.241371154785156
1127,Syrian Arab Republic,Ar-Raqqa,Ar-Raqqa,Ar-Raqqa,35.95000076293945,39.01667022705078
1130,Syrian Arab Republic,Tartous,Tartous,Tartous,34.890017,35.889063
1133,Syrian Arab Republic,Lattakia,Lattakia,Lattakia,35.516667,35.783333
1134,Syrian Arab Republic,Lattakia,Jablah,Jablah,35.361358642578125,35.9263801574707
1136,Syrian Arab Republic,Hama,Hama,Hama,35.133333,36.75
1137,Syrian Arab Republic,Hama,Masyaf,Masyaf,35.05915832519531,36.34209060668945
1138,Syrian Arab Republic,Hama,Muhradah,Muhradah,35.24776077270508,36.580928802490234
1142,Syrian Arab Republic,Aleppo,Jebel Saman,Aleppo,36.202778,37.158611
1144,Syrian Arab Republic,Aleppo,Al Bab,Al Bab,36.372501373291016,37.51778030395508
1354,Syrian Arab Republic,Rural Damascus,Rural Damascus,Jaramana,33.483333,36.35
1547,Syrian Arab Republic,Idleb,Idleb,Idleb,35.93096160888672,36.633140563964844
1548,Syrian Arab Republic,Deir-ez-Zor,Al Mayadin,Al Mayadin,35.01667022705078,40.45000076293945
1549,Syrian Arab Republic,Rural Damascus,At Tall,At-Tall,33.59767150878906,36.30033874511719
1550,Syrian Arab Republic,Idleb,Idleb,Bennsh,35.958160400390625,36.71189880371094
1553,Syrian Arab Republic,Tartous,Safita,Rural Safita,34.87588119506836,36.257259368896484
1554,Syrian Arab Republic,Quneitra,Quneitra,Khan Arnaba,33.18424987792969,35.89064025878906
1555,Syrian Arab Republic,Dar'a,Dar'a,Mzeireb,32.70878982543945,36.02595138549805
1556,Syrian Arab Republic,As-Sweida,Shahba,Shahba,32.8523289999999,36.6407699999999
1558,Syrian Arab Republic,Damascus,Damascus,Shrebishat,33.50694,36.29672
1559,Syrian Arab Republic,As-Sweida,As-Sweida,As-Sweida,32.70000076293945,36.56666946411133
1897,Syrian Arab Republic,Homs,Homs,Qaryatein,34.230369567871094,37.23897933959961
1926,Syrian Arab Republic,Aleppo,A'zaz,A'zaz,36.585899353027344,37.045650482177734
1927,Syrian Arab Republic,Homs,Ar-Rastan,Ar-Rastan,34.916839599609375,36.73331832885742
1928,Syrian Arab Republic,Homs,Ar-Rastan,Talbiseh,34.84375,36.73012161254883
1929,Syrian Arab Republic,Homs,Homs,Inshaat,34.72422790527344,36.69846725463867
1931,Syrian Arab Republic,Homs,Homs,Hula,34.89685821533203,36.49570846557617
1948,Syrian Arab Republic,Hama,As-Salamiyeh,As-Salamiyeh,35.01789855957031,37.0711784362793
1949,Syrian Arab Republic,Aleppo,Afrin,Afrin,36.45270919799805,36.81686019897461
2237,Syrian Arab Republic,Dar'a,Izra',Hrak,32.7518310546875,36.264404296875
2523,Syrian Arab Republic,Dar'a,Izra',Izr'a,32.8548876,36.2721783
2524,Syrian Arab Republic,Quneitra,Al Fiq,Sayda,32.8752123,35.8787037
2675,Syrian Arab Republic,Aleppo,As-Safira,As-Safira,36.07915115356445,37.372840881347656
2676,Syrian Arab Republic,Aleppo,Jebel Saman,Atareb,36.139400482177734,36.82350158691406
2677,Syrian Arab Republic,Aleppo,Al Bab,Der Hafir,36.15638732910156,37.703697204589844
