IndicatorName,CountryName,Date,Value,SourceOfTheData
Inflation Rate,Syrian Arab Republic,31/12/2024,46.6,Trading Economics
Inflation Rate,Syrian Arab Republic,30/04/2024,120.4,Trading Economics
Inflation Rate,Syrian Arab Republic,31/03/2024,134.6,Trading Economics
Inflation Rate,Syrian Arab Republic,29/02/2024,129,Trading Economics
Inflation Rate,Syrian Arab Republic,31/01/2024,134.6,Trading Economics
Inflation Rate,Syrian Arab Republic,31/12/2023,139.6,Trading Economics
Inflation Rate,Syrian Arab Republic,30/11/2023,144.6,Trading Economics
Inflation Rate,Syrian Arab Republic,31/10/2023,148.5,Trading Economics
Inflation Rate,Syrian Arab Republic,30/09/2023,153,Trading Economics
Inflation Rate,Syrian Arab Republic,31/08/2023,150,Trading Economics
Inflation Rate,Syrian Arab Republic,31/07/2023,111,Trading Economics
Inflation Rate,Syrian Arab Republic,30/06/2023,85.5,Trading Economics
Inflation Rate,Syrian Arab Republic,31/05/2023,81.34,Trading Economics
Inflation Rate,Syrian Arab Republic,30/04/2023,76.7,Trading Economics
Inflation Rate,Syrian Arab Republic,31/03/2023,80.1,Trading Economics
Inflation Rate,Syrian Arab Republic,28/02/2023,87.3,Trading Economics
Inflation Rate,Syrian Arab Republic,31/01/2023,89.7,Trading Economics
Inflation Rate,Syrian Arab Republic,31/12/2022,84.9,Trading Economics
Inflation Rate,Syrian Arab Republic,31/12/2021,79.1,Trading Economics
Inflation Rate,Syrian Arab Republic,30/11/2021,91.1,Trading Economics
Inflation Rate,Syrian Arab Republic,31/10/2021,94.9,Trading Economics
Inflation Rate,Syrian Arab Republic,30/09/2021,98.9,Trading Economics
Inflation Rate,Syrian Arab Republic,31/08/2021,109.4,Trading Economics
Inflation Rate,Syrian Arab Republic,31/07/2021,107.8,Trading Economics
Inflation Rate,Syrian Arab Republic,30/06/2021,105,Trading Economics
Inflation Rate,Syrian Arab Republic,31/05/2021,166.1,Trading Economics
Inflation Rate,Syrian Arab Republic,30/04/2021,179.2,Trading Economics
Inflation Rate,Syrian Arab Republic,31/03/2021,188.4,Trading Economics
Inflation Rate,Syrian Arab Republic,28/02/2021,175.4,Trading Economics
Inflation Rate,Syrian Arab Republic,31/01/2021,163.4,Trading Economics
