IndicatorType,CountryName,MarketName,CurrencyCode,Date,Value,SourceOfTheData
Official,Syrian Arab Republic,,SYP,07/07/2008,50.95,Trading Economics
Official,Syrian Arab Republic,,SYP,08/07/2008,50.95,Trading Economics
Official,Syrian Arab Republic,,SYP,09/07/2008,50.95,Trading Economics
Official,Syrian Arab Republic,,SYP,10/07/2008,50.95,Trading Economics
Official,Syrian Arab Republic,,SYP,11/07/2008,50.95,Trading Economics
Official,Syrian Arab Republic,,SYP,14/07/2008,50.95,Trading Economics
Official,Syrian Arab Republic,,SYP,15/07/2008,50.95,Trading Economics
Official,Syrian Arab Republic,,SYP,16/07/2008,50.95,Trading Economics
Official,Syrian Arab Republic,,SYP,17/07/2008,50.95,Trading Economics
Official,Syrian Arab Republic,,SYP,18/07/2008,50.95,Trading Economics
Official,Syrian Arab Republic,,SYP,21/07/2008,50.95,Trading Economics
Official,Syrian Arab Republic,,SYP,22/07/2008,50.95,Trading Economics
Official,Syrian Arab Republic,,SYP,23/07/2008,50.95,Trading Economics
Official,Syrian Arab Republic,,SYP,24/07/2008,50.95,Trading Economics
Official,Syrian Arab Republic,,SYP,25/07/2008,50.95,Trading Economics
Official,Syrian Arab Republic,,SYP,28/07/2008,50.95,Trading Economics
Official,Syrian Arab Republic,,SYP,29/07/2008,50.95,Trading Economics
Official,Syrian Arab Republic,,SYP,30/07/2008,50.95,Trading Economics
Official,Syrian Arab Republic,,SYP,31/07/2008,50.95,Trading Economics
Official,Syrian Arab Republic,,SYP,01/08/2008,50.95,Trading Economics
Official,Syrian Arab Republic,,SYP,04/08/2008,50.95,Trading Economics
Official,Syrian Arab Republic,,SYP,05/08/2008,50.95,Trading Economics
Official,Syrian Arab Republic,,SYP,06/08/2008,50.95,Trading Economics
Official,Syrian Arab Republic,,SYP,07/08/2008,50.95,Trading Economics
Official,Syrian Arab Republic,,SYP,08/08/2008,50.95,Trading Economics
Official,Syrian Arab Republic,,SYP,11/08/2008,50.95,Trading Economics
Official,Syrian Arab Republic,,SYP,12/08/2008,50.95,Trading Economics
Official,Syrian Arab Republic,,SYP,13/08/2008,50.95,Trading Economics
Official,Syrian Arab Republic,,SYP,14/08/2008,50.95,Trading Economics
Official,Syrian Arab Republic,,SYP,15/08/2008,50.95,Trading Economics
Official,Syrian Arab Republic,,SYP,18/08/2008,50.95,Trading Economics
