IndicatorType,CountryName,MarketName,CurrencyCode,Date,Value,SourceOfTheData
Parallel,Syrian Arab Republic,Sheikh Sa'ad,SYP,15/01/2018,466,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Qudsiya,SYP,15/01/2018,460,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Dar'a,SYP,15/01/2018,465,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Al-Hasakeh,SYP,15/01/2018,458,Field Monitors/Qamishly Sub Office
Parallel,Syrian Arab Republic,Quamishli,SYP,15/01/2018,458,Field Monitors/Qamishly Sub Office
Parallel,Syrian Arab Republic,Ar-Raqqa,SYP,15/01/2018,466,Field Monitors/Qamishly Sub Office
Parallel,Syrian Arab Republic,Tell Abiad,SYP,15/01/2018,458,Field Monitors/Qamishly Sub Office
Parallel,Syrian Arab Republic,Tartous,SYP,15/01/2018,466,Field Monitors/Tartous Sub Offices
Parallel,Syrian Arab Republic,Lattakia,SYP,15/01/2018,466,Field Monitors/Tartous Sub Offices
Parallel,Syrian Arab Republic,Jablah,SYP,15/01/2018,466,Field Monitors/Tartous Sub Offices
Parallel,Syrian Arab Republic,Hama,SYP,15/01/2018,463,Field Monitors/Homs Sub Office
Parallel,Syrian Arab Republic,Masyaf,SYP,15/01/2018,463,Field Monitors/Homs Sub Office
Parallel,Syrian Arab Republic,Moghambo,SYP,15/01/2018,463,Field Monitors/Aleppo Sub Office
Parallel,Syrian Arab Republic,Al-Cha'ar,SYP,15/01/2018,463,Field Monitors/Aleppo Sub Office
Parallel,Syrian Arab Republic,Idleb,SYP,15/01/2018,464,Field Monitors/Gazientap Sub Office
Parallel,Syrian Arab Republic,At-Tall,SYP,15/01/2018,462,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Bennsh,SYP,15/01/2018,462,Field Monitors/Gazientap Sub Office
Parallel,Syrian Arab Republic,Ekrema,SYP,15/01/2018,463,Field Monitors/Homs Sub Office
Parallel,Syrian Arab Republic,Rural Safita,SYP,15/01/2018,466,Field Monitors/Tartous Sub Offices
Parallel,Syrian Arab Republic,Khan Arnaba,SYP,15/01/2018,463,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Mzeireb,SYP,15/01/2018,465,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Shahba,SYP,15/01/2018,475,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Rafid,SYP,15/01/2018,469,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Shrebishat,SYP,15/01/2018,465,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,As-Sweida,SYP,15/01/2018,475,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Qaryatein,SYP,15/01/2018,463,Field Monitors/Homs Sub Office
